#             R [au]        psi_0 [a.u.]
   8.866962232074E-1   9.102560067159E-1
   8.900296676556E-1   9.107507060871E-1
   8.933631121037E-1   9.112225609107E-1
   8.966965565519E-1   9.116716367051E-1
   9.000300010000E-1   9.120979998447E-1
   9.033634454482E-1   9.125017175518E-1
   9.066968898963E-1   9.128828578888E-1
   9.100303343445E-1   9.132414897507E-1
   9.133637787926E-1   9.135776828566E-1
   9.166972232408E-1   9.138915077424E-1
   9.200306676889E-1   9.141830357524E-1
   9.233641121371E-1   9.144523390318E-1
   9.266975565852E-1   9.146994905184E-1
   9.300310010334E-1   9.149245639347E-1
   9.333644454815E-1   9.151276337801E-1
   9.366978899297E-1   9.153087753225E-1
   9.400313343778E-1   9.154680645905E-1
   9.433647788260E-1   9.156055783653E-1
   9.466982232741E-1   9.157213941725E-1
   9.500316677223E-1   9.158155902740E-1
   9.533651121704E-1   9.158882456603E-1
   9.566985566186E-1   9.159394400417E-1
   9.600320010667E-1   9.159692538404E-1
   9.633654455149E-1   9.159777681828E-1
   9.666988899630E-1   9.159650648905E-1
   9.700323344111E-1   9.159312284866E-1
   9.733657788593E-1   9.158763391388E-1
   9.766992233074E-1   9.158004817136E-1
   9.800326677556E-1   9.157037407332E-1
   9.833661122037E-1   9.155862013745E-1
   9.866995566519E-1   9.154479494609E-1
   9.900330011000E-1   9.152890714536E-1
   9.933664455482E-1   9.151096544440E-1
   9.966998899963E-1   9.149097861449E-1
    1.000033334444E0   9.146895548827E-1
    1.003366778893E0   9.144490495886E-1
    1.006700223341E0   9.141883597908E-1
    1.010033667789E0   9.139075756063E-1
    1.013367112237E0   9.136067877320E-1
    1.016700556685E0   9.132860874372E-1
    1.020034001133E0   9.129455665548E-1
    1.023367445582E0   9.125853174733E-1
    1.026700890030E0   9.122054331285E-1
    1.030034334478E0   9.118060069950E-1
    1.033367778926E0   9.113871330784E-1
    1.036701223374E0   9.109489059067E-1
    1.040034667822E0   9.104914205221E-1
    1.043368112270E0   9.100147724728E-1
    1.046701556719E0   9.095190578049E-1
