#             R [au]        psi_0 [a.u.]        psi_1 [a.u.]
   2.486749558319E-1   1.812673943158E-1   5.478964234676E-1
   2.493416447215E-1   1.826078078994E-1   5.513797827988E-1
   2.500083336111E-1   1.839538418401E-1   5.548704810715E-1
   2.506750225008E-1   1.853054955386E-1   5.583684379772E-1
   2.513417113904E-1   1.866627682887E-1   5.618735727220E-1
   2.520084002800E-1   1.880256592766E-1   5.653858040291E-1
   2.526750891696E-1   1.893941675811E-1   5.689050501413E-1
   2.533417780593E-1   1.907682921736E-1   5.724312288228E-1
   2.540084669489E-1   1.921480319177E-1   5.759642573621E-1
   2.546751558385E-1   1.935333855697E-1   5.795040525742E-1
   2.553418447282E-1   1.949243517782E-1   5.830505308029E-1
   2.560085336178E-1   1.963209290838E-1   5.866036079234E-1
   2.566752225074E-1   1.977231159198E-1   5.901631993446E-1
   2.573419113970E-1   1.991309106112E-1   5.937292200116E-1
   2.580086002867E-1   2.005443113755E-1   5.973015844081E-1
   2.586752891763E-1   2.019633163223E-1   6.008802065591E-1
   2.593419780659E-1   2.033879234529E-1   6.044650000332E-1
   2.600086669556E-1   2.048181306611E-1   6.080558779452E-1
   2.606753558452E-1   2.062539357323E-1   6.116527529587E-1
   2.613420447348E-1   2.076953363441E-1   6.152555372884E-1
   2.620087336245E-1   2.091423300657E-1   6.188641427031E-1
   2.626754225141E-1   2.105949143584E-1   6.224784805281E-1
   2.633421114037E-1   2.120530865753E-1   6.260984616475E-1
   2.640088002933E-1   2.135168439613E-1   6.297239965074E-1
   2.646754891830E-1   2.149861836528E-1   6.333549951183E-1
   2.653421780726E-1   2.164611026784E-1   6.369913670574E-1
   2.660088669622E-1   2.179415979579E-1   6.406330214719E-1
   2.666755558519E-1   2.194276663032E-1   6.442798670813E-1
   2.673422447415E-1   2.209193044177E-1   6.479318121803E-1
   2.680089336311E-1   2.224165088962E-1   6.515887646414E-1
   2.686756225208E-1   2.239192762256E-1   6.552506319176E-1
   2.693423114104E-1   2.254276027838E-1   6.589173210456E-1
   2.700090003000E-1   2.269414848408E-1   6.625887386478E-1
   2.706756891896E-1   2.284609185579E-1   6.662647909358E-1
   2.713423780793E-1   2.299858999878E-1   6.699453837131E-1
   2.720090669689E-1   2.315164250750E-1   6.736304223774E-1
   2.726757558585E-1   2.330524896554E-1   6.773198119242E-1
