#             R [au]        psi_0 [a.u.]
   3.706790226341E-1   1.169271588596E-7
   3.713457115237E-1   1.177673353346E-7
   3.720124004133E-1   1.186120136237E-7
   3.726790893030E-1   1.194612095871E-7
   3.733457781926E-1   1.203149391111E-7
   3.740124670822E-1   1.211732181082E-7
   3.746791559719E-1   1.220360625169E-7
   3.753458448615E-1   1.229034883020E-7
   3.760125337511E-1   1.237755114545E-7
   3.766792226408E-1   1.246521479912E-7
   3.773459115304E-1   1.255334139553E-7
   3.780126004200E-1   1.264193254160E-7
   3.786792893096E-1   1.273098984684E-7
   3.793459781993E-1   1.282051492340E-7
   3.800126670889E-1   1.291050938601E-7
   3.806793559785E-1   1.300097485201E-7
   3.813460448682E-1   1.309191294134E-7
   3.820127337578E-1   1.318332527655E-7
   3.826794226474E-1   1.327521348278E-7
   3.833461115371E-1   1.336757918778E-7
   3.840128004267E-1   1.346042402188E-7
   3.846794893163E-1   1.355374961803E-7
   3.853461782059E-1   1.364755761175E-7
   3.860128670956E-1   1.374184964118E-7
   3.866795559852E-1   1.383662734702E-7
   3.873462448748E-1   1.393189237261E-7
   3.880129337645E-1   1.402764636382E-7
   3.886796226541E-1   1.412389096917E-7
   3.893463115437E-1   1.422062783971E-7
   3.900130004333E-1   1.431785862912E-7
   3.906796893230E-1   1.441558499365E-7
   3.913463782126E-1   1.451380859213E-7
   3.920130671022E-1   1.461253108597E-7
   3.926797559919E-1   1.471175413917E-7
   3.933464448815E-1   1.481147941831E-7
   3.940131337711E-1   1.491170859255E-7
   3.946798226608E-1   1.501244333361E-7
   3.953465115504E-1   1.511368531582E-7
   3.960132004400E-1   1.521543621605E-7
   3.966798893296E-1   1.531769771376E-7
   3.973465782193E-1   1.542047149098E-7
   3.980132671089E-1   1.552375923233E-7
   3.986799559985E-1   1.562756262496E-7
   3.993466448882E-1   1.573188335861E-7
   4.000133337778E-1   1.583672312561E-7
   4.006800226674E-1   1.594208362082E-7
   4.013467115571E-1   1.604796654168E-7
   4.020134004467E-1   1.615437358819E-7
   4.026800893363E-1   1.626130646292E-7
   4.033467782259E-1   1.636876687099E-7
   4.040134671156E-1   1.647675652009E-7
   4.046801560052E-1   1.658527712046E-7
   4.053468448948E-1   1.669433038490E-7
   4.060135337845E-1   1.680391802876E-7
   4.066802226741E-1   1.691404176997E-7
   4.073469115637E-1   1.702470332897E-7
   4.080136004533E-1   1.713590442879E-7
   4.086802893430E-1   1.724764679499E-7
   4.093469782326E-1   1.735993215569E-7
   4.100136671222E-1   1.747276224154E-7
   4.106803560119E-1   1.758613878575E-7
   4.113470449015E-1   1.770006352409E-7
   4.120137337911E-1   1.781453819484E-7
   4.126804226808E-1   1.792956453884E-7
   4.133471115704E-1   1.804514429948E-7
   4.140138004600E-1   1.816127922268E-7
   4.146804893496E-1   1.827797105690E-7
   4.153471782393E-1   1.839522155313E-7
   4.160138671289E-1   1.851303246491E-7
   4.166805560185E-1   1.863140554830E-7
   4.173472449082E-1   1.875034256190E-7
   4.180139337978E-1   1.886984526685E-7
   4.186806226874E-1   1.898991542681E-7
   4.193473115771E-1   1.911055480796E-7
   4.200140004667E-1   1.923176517903E-7
   4.206806893563E-1   1.935354831126E-7
   4.213473782459E-1   1.947590597842E-7
   4.220140671356E-1   1.959883995682E-7
   4.226807560252E-1   1.972235202525E-7
   4.233474449148E-1   1.984644396507E-7
   4.240141338045E-1   1.997111756012E-7
   4.246808226941E-1   2.009637459679E-7
   4.253475115837E-1   2.022221686397E-7
   4.260142004733E-1   2.034864615306E-7
   4.266808893630E-1   2.047566425799E-7
   4.273475782526E-1   2.060327297519E-7
   4.280142671422E-1   2.073147410360E-7
   4.286809560319E-1   2.086026944469E-7
