#             R [au]        psi_0 [a.u.]
   3.513450448348E-1   2.904992172050E-1
   3.520117337245E-1   2.919371957084E-1
   3.526784226141E-1   2.933786795378E-1
   3.533451115037E-1   2.948236621521E-1
   3.540118003933E-1   2.962721369528E-1
   3.546784892830E-1   2.977240972838E-1
   3.553451781726E-1   2.991795364321E-1
   3.560118670622E-1   3.006384476270E-1
   3.566785559519E-1   3.021008240408E-1
   3.573452448415E-1   3.035666587887E-1
   3.580119337311E-1   3.050359449287E-1
   3.586786226208E-1   3.065086754617E-1
   3.593453115104E-1   3.079848433316E-1
   3.600120004000E-1   3.094644414252E-1
   3.606786892896E-1   3.109474625725E-1
   3.613453781793E-1   3.124338995466E-1
   3.620120670689E-1   3.139237450636E-1
   3.626787559585E-1   3.154169917831E-1
   3.633454448482E-1   3.169136323076E-1
   3.640121337378E-1   3.184136591831E-1
   3.646788226274E-1   3.199170648991E-1
   3.653455115171E-1   3.214238418883E-1
   3.660122004067E-1   3.229339825269E-1
   3.666788892963E-1   3.244474791346E-1
   3.673455781859E-1   3.259643239748E-1
   3.680122670756E-1   3.274845092543E-1
   3.686789559652E-1   3.290080271240E-1
   3.693456448548E-1   3.305348696781E-1
   3.700123337445E-1   3.320650289547E-1
   3.706790226341E-1   3.335984969360E-1
   3.713457115237E-1   3.351352655479E-1
   3.720124004133E-1   3.366753266602E-1
   3.726790893030E-1   3.382186720869E-1
   3.733457781926E-1   3.397652935861E-1
   3.740124670822E-1   3.413151828600E-1
   3.746791559719E-1   3.428683315549E-1
   3.753458448615E-1   3.444247312616E-1
   3.760125337511E-1   3.459843735151E-1
   3.766792226408E-1   3.475472497947E-1
   3.773459115304E-1   3.491133515245E-1
   3.780126004200E-1   3.506826700728E-1
   3.786792893096E-1   3.522551967526E-1
   3.793459781993E-1   3.538309228217E-1
   3.800126670889E-1   3.554098394825E-1
   3.806793559785E-1   3.569919378821E-1
   3.813460448682E-1   3.585772091128E-1
   3.820127337578E-1   3.601656442115E-1
   3.826794226474E-1   3.617572341602E-1
   3.833461115371E-1   3.633519698861E-1
   3.840128004267E-1   3.649498422614E-1
   3.846794893163E-1   3.665508421037E-1
   3.853461782059E-1   3.681549601755E-1
   3.860128670956E-1   3.697621871851E-1
   3.866795559852E-1   3.713725137861E-1
   3.873462448748E-1   3.729859305774E-1
   3.880129337645E-1   3.746024281038E-1
   3.886796226541E-1   3.762219968556E-1
   3.893463115437E-1   3.778446272687E-1
   3.900130004333E-1   3.794703097252E-1
   3.906796893230E-1   3.810990345526E-1
   3.913463782126E-1   3.827307920248E-1
   3.920130671022E-1   3.843655723615E-1
   3.926797559919E-1   3.860033657285E-1
   3.933464448815E-1   3.876441622380E-1
   3.940131337711E-1   3.892879519483E-1
   3.946798226608E-1   3.909347248641E-1
   3.953465115504E-1   3.925844709368E-1
   3.960132004400E-1   3.942371800638E-1
   3.966798893296E-1   3.958928420897E-1
   3.973465782193E-1   3.975514468054E-1
   3.980132671089E-1   3.992129839487E-1
   3.986799559985E-1   4.008774432042E-1
   3.993466448882E-1   4.025448142036E-1
   4.000133337778E-1   4.042150865256E-1
   4.006800226674E-1   4.058882496959E-1
   4.013467115571E-1   4.075642931875E-1
   4.020134004467E-1   4.092432064206E-1
   4.026800893363E-1   4.109249787630E-1
   4.033467782259E-1   4.126095995298E-1
   4.040134671156E-1   4.142970579837E-1
   4.046801560052E-1   4.159873433350E-1
   4.053468448948E-1   4.176804447419E-1
   4.060135337845E-1   4.193763513104E-1
   4.066802226741E-1   4.210750520943E-1
   4.073469115637E-1   4.227765360955E-1
   4.080136004533E-1   4.244807922641E-1
   4.086802893430E-1   4.261878094983E-1
   4.093469782326E-1   4.278975766446E-1
   4.100136671222E-1   4.296100824980E-1
   4.106803560119E-1   4.313253158019E-1
   4.113470449015E-1   4.330432652484E-1
   4.120137337911E-1   4.347639194782E-1
   4.126804226808E-1   4.364872670809E-1
   4.133471115704E-1   4.382132965948E-1
   4.140138004600E-1   4.399419965074E-1
   4.146804893496E-1   4.416733552551E-1
   4.153471782393E-1   4.434073612236E-1
   4.160138671289E-1   4.451440027479E-1
   4.166805560185E-1   4.468832681124E-1
   4.173472449082E-1   4.486251455509E-1
   4.180139337978E-1   4.503696232468E-1
   4.186806226874E-1   4.521166893332E-1
   4.193473115771E-1   4.538663318932E-1
   4.200140004667E-1   4.556185389596E-1
   4.206806893563E-1   4.573732985153E-1
   4.213473782459E-1   4.591305984932E-1
   4.220140671356E-1   4.608904267766E-1
   4.226807560252E-1   4.626527711989E-1
   4.233474449148E-1   4.644176195442E-1
   4.240141338045E-1   4.661849595471E-1
   4.246808226941E-1   4.679547788927E-1
