#             E [au]      sigma_0 [au^2]      sigma_1 [au^2]    sigma_tot [au^2]
   9.000000000000E-2    6.738324605610E1    4.190473974986E1    1.092879858060E2
   9.050000000000E-2    6.710440080737E1    4.210509105662E1    1.092094918640E2
   9.100000000000E-2    6.682656994619E1    4.230439288851E1    1.091309628347E2
   9.150000000000E-2    6.654975034285E1    4.250264532937E1    1.090523956722E2
   9.200000000000E-2    6.627393887699E1    4.269984853207E1    1.089737874091E2
   9.250000000000E-2    6.599913243567E1    4.289600271177E1    1.088951351474E2
   9.300000000000E-2    6.572532791524E1    4.309110815590E1    1.088164360711E2
   9.350000000000E-2    6.545252222018E1    4.328516520953E1    1.087376874297E2
   9.400000000000E-2    6.518071226334E1    4.347817428129E1    1.086588865446E2
   9.450000000000E-2    6.490989496590E1    4.367013584170E1    1.085800308076E2
   9.500000000000E-2    6.464006725772E1    4.386105042268E1    1.085011176804E2
   9.550000000000E-2    6.437122607687E1    4.405091861146E1    1.084221446883E2
   9.600000000000E-2    6.410336836987E1    4.423974105085E1    1.083431094207E2
   9.650000000000E-2    6.383649109141E1    4.442751844128E1    1.082640095327E2
   9.700000000000E-2    6.357059120462E1    4.461425154131E1    1.081848427459E2
   9.750000000000E-2    6.330566568075E1    4.479994115512E1    1.081056068359E2
   9.800000000000E-2    6.304171149969E1    4.498458814127E1    1.080262996410E2
   9.850000000000E-2    6.277872564915E1    4.516819341154E1    1.079469190607E2
   9.900000000000E-2    6.251670512533E1    4.535075792504E1    1.078674630504E2
   9.950000000000E-2    6.225564693270E1    4.553228268925E1    1.077879296220E2
   1.000000000000E-1    6.199554808355E1    4.571276875837E1    1.077083168419E2
   1.005000000000E-1    6.173640559887E1    4.589221723501E1    1.076286228339E2
   1.010000000000E-1    6.147821650744E1    4.607062926523E1    1.075488457727E2
   1.015000000000E-1    6.122097784629E1    4.624800603912E1    1.074689838854E2
   1.020000000000E-1    6.096468666068E1    4.642434879138E1    1.073890354521E2
   1.025000000000E-1    6.070934000367E1    4.659965879417E1    1.073089987978E2
   1.030000000000E-1    6.045493493652E1    4.677393736975E1    1.072288723063E2
   1.035000000000E-1    6.020146852887E1    4.694718586914E1    1.071486543980E2
   1.040000000000E-1    5.994893785779E1    4.711940569365E1    1.070683435514E2
   1.045000000000E-1    5.969734000910E1    4.729059827362E1    1.069879382827E2
   1.050000000000E-1    5.944667207596E1    4.746076508163E1    1.069074371576E2
   1.055000000000E-1    5.919693115993E1    4.762990762914E1    1.068268387891E2
   1.060000000000E-1    5.894811437034E1    4.779802745554E1    1.067461418259E2
   1.065000000000E-1    5.870021882452E1    4.796512614504E1    1.066653449696E2
   1.070000000000E-1    5.845324164774E1    4.813120530619E1    1.065844469539E2
   1.075000000000E-1    5.820717997329E1    4.829626658913E1    1.065034465624E2
   1.080000000000E-1    5.796203094202E1    4.846031167089E1    1.064223426129E2
   1.085000000000E-1    5.771779170298E1    4.862334226267E1    1.063411339657E2
   1.090000000000E-1    5.747445941290E1    4.878536010313E1    1.062598195160E2
   1.095000000000E-1    5.723203123641E1    4.894636696825E1    1.061783982047E2
   1.100000000000E-1    5.699050434592E1    4.910636465716E1    1.060968690031E2
   1.105000000000E-1    5.674987592169E1    4.926535500016E1    1.060152309218E2
   1.110000000000E-1    5.651014315169E1    4.942333985549E1    1.059334830072E2
   1.115000000000E-1    5.627130323163E1    4.958032110998E1    1.058516243416E2
   1.120000000000E-1    5.603335336509E1    4.973630067369E1    1.057696540388E2
   1.125000000000E-1    5.579629076325E1    4.989128048688E1    1.056875712501E2
   1.130000000000E-1    5.556011264504E1    5.004526251351E1    1.056053751585E2
   1.135000000000E-1    5.532481623701E1    5.019824874239E1    1.055230649794E2
   1.140000000000E-1    5.509039877348E1    5.035024118683E1    1.054406399603E2
   1.145000000000E-1    5.485685749635E1    5.050124188406E1    1.053580993804E2
   1.150000000000E-1    5.462418965519E1    5.065125289227E1    1.052754425475E2
   1.155000000000E-1    5.439239250714E1    5.080027629661E1    1.051926688037E2
   1.160000000000E-1    5.416146331697E1    5.094831420047E1    1.051097775174E2
   1.165000000000E-1    5.393139935699E1    5.109536872850E1    1.050267680855E2
   1.170000000000E-1    5.370219790709E1    5.124144202882E1    1.049436399359E2
   1.175000000000E-1    5.347385625472E1    5.138653626963E1    1.048603925243E2
   1.180000000000E-1    5.324637169480E1    5.153065363391E1    1.047770253287E2
   1.185000000000E-1    5.301974152980E1    5.167379633074E1    1.046935378605E2
   1.190000000000E-1    5.279396306965E1    5.181596658541E1    1.046099296551E2
   1.195000000000E-1    5.256903363176E1    5.195716664012E1    1.045262002719E2
   1.200000000000E-1    5.234495054098E1    5.209739875456E1    1.044423492955E2
   1.205000000000E-1    5.212171112960E1    5.223666520971E1    1.043583763393E2
   1.210000000000E-1    5.189931273732E1    5.237496829977E1    1.042742810371E2
   1.215000000000E-1    5.167775271125E1    5.251231033488E1    1.041900630461E2
   1.220000000000E-1    5.145702840585E1    5.264869364668E1    1.041057220525E2
   1.225000000000E-1    5.123713718299E1    5.278412057574E1    1.040212577587E2
   1.230000000000E-1    5.101807641183E1    5.291859348148E1    1.039366698933E2
   1.235000000000E-1    5.079984346885E1    5.305211473660E1    1.038519582055E2
   1.240000000000E-1    5.058243573796E1    5.318468673049E1    1.037671224684E2
   1.245000000000E-1    5.036585061018E1    5.331631186161E1    1.036821624718E2
   1.250000000000E-1    5.015008548398E1    5.344699254801E1    1.035970780320E2
   1.255000000000E-1    4.993513776489E1    5.357673121578E1    1.035118689807E2
   1.260000000000E-1    4.972100486596E1    5.370553030844E1    1.034265351744E2
   1.265000000000E-1    4.950768420718E1    5.383339227804E1    1.033410764852E2
   1.270000000000E-1    4.929517321587E1    5.396031958968E1    1.032554928056E2
   1.275000000000E-1    4.908346932660E1    5.408631472075E1    1.031697840474E2
   1.280000000000E-1    4.887256998093E1    5.421138016109E1    1.030839501420E2
   1.285000000000E-1    4.866247262777E1    5.433551840790E1    1.029979910357E2
   1.290000000000E-1    4.845317472300E1    5.445873197268E1    1.029119066957E2
   1.295000000000E-1    4.824467372980E1    5.458102337751E1    1.028256971073E2
   1.300000000000E-1    4.803696711835E1    5.470239514983E1    1.027393622682E2
   1.305000000000E-1    4.783005236588E1    5.482284983201E1    1.026529021979E2
   1.310000000000E-1    4.762392695672E1    5.494238997267E1    1.025663169294E2
   1.315000000000E-1    4.741858838234E1    5.506101813190E1    1.024796065142E2
   1.320000000000E-1    4.721403414108E1    5.517873687509E1    1.023927710162E2
   1.325000000000E-1    4.701026173843E1    5.529554877852E1    1.023058105170E2
   1.330000000000E-1    4.680726868683E1    5.541145642872E1    1.022187251155E2
   1.335000000000E-1    4.660505250574E1    5.552646241543E1    1.021315149212E2
   1.340000000000E-1    4.640361072156E1    5.564056933969E1    1.020441800612E2
   1.345000000000E-1    4.620294086762E1    5.575377980596E1    1.019567206736E2
   1.350000000000E-1    4.600304048416E1    5.586609643178E1    1.018691369159E2
   1.355000000000E-1    4.580390711852E1    5.597752183724E1    1.017814289558E2
   1.360000000000E-1    4.560553832476E1    5.608805864920E1    1.016935969740E2
   1.365000000000E-1    4.540793166385E1    5.619770950192E1    1.016056411658E2
   1.370000000000E-1    4.521108470371E1    5.630647703500E1    1.015175617387E2
   1.375000000000E-1    4.501499501908E1    5.641436389449E1    1.014293589136E2
   1.380000000000E-1    4.481966019147E1    5.652137273296E1    1.013410329244E2
   1.385000000000E-1    4.462507780928E1    5.662750620624E1    1.012525840155E2
   1.390000000000E-1    4.443124546776E1    5.673276697618E1    1.011640124439E2
   1.395000000000E-1    4.423816076876E1    5.683715771089E1    1.010753184797E2
   1.400000000000E-1    4.404582132108E1    5.694068108089E1    1.009865024020E2
   1.405000000000E-1    4.385422474030E1    5.704333976203E1    1.008975645023E2
   1.410000000000E-1    4.366336864857E1    5.714513643563E1    1.008085050842E2
   1.415000000000E-1    4.347325067503E1    5.724607378499E1    1.007193244600E2
   1.420000000000E-1    4.328386845515E1    5.734615450017E1    1.006300229553E2
